2a_over_lambda,ED,MD,EQ,MQ
0.200000,4.115319e-02,5.796116e-04,2.390085e-05,9.320857e-08
0.204020,4.668499e-02,7.225306e-04,2.915349e-05,1.238492e-07
0.208040,5.283232e-02,8.980541e-04,3.542401e-05,1.637020e-07
0.212060,5.964856e-02,1.113166e-03,4.288451e-05,2.152937e-07
0.216080,6.719004e-02,1.376289e-03,5.173217e-05,2.817822e-07
0.220101,7.551593e-02,1.697584e-03,6.219241e-05,3.670995e-07
0.224121,8.468818e-02,2.089308e-03,7.452226e-05,4.761257e-07
0.228141,9.477134e-02,2.566253e-03,8.901421e-05,6.148968e-07
0.232161,1.058324e-01,3.146280e-03,1.060004e-04,7.908560e-07
0.236181,1.179404e-01,3.850973e-03,1.258571e-04,1.013154e-06
0.240201,1.311664e-01,4.706441e-03,1.490101e-04,1.293009e-06
0.244221,1.455828e-01,5.744306e-03,1.759399e-04,1.644136e-06
0.248241,1.612630e-01,7.002916e-03,2.071879e-04,2.083263e-06
0.252261,1.782809e-01,8.528857e-03,2.433635e-04,2.630738e-06
0.256281,1.967104e-01,1.037882e-02,2.851508e-04,3.311257e-06
0.260302,2.166245e-01,1.262194e-02,3.333171e-04,4.154728e-06
0.264322,2.380946e-01,1.534270e-02,3.887217e-04,5.197295e-06
0.268342,2.611899e-01,1.864460e-02,4.523252e-04,6.482553e-06
0.272362,2.859763e-01,2.265478e-02,5.252002e-04,8.062982e-06
0.276382,3.125155e-01,2.752981e-02,6.085429e-04,1.000165e-05
0.280402,3.408641e-01,3.346309e-02,7.036853e-04,1.237423e-05
0.284422,3.710726e-01,4.069423e-02,8.121095e-04,1.527135e-05
0.288442,4.031845e-01,4.952099e-02,9.354617e-04,1.880145e-05
0.292462,4.372349e-01,6.031453e-02,1.075569e-03,2.309404e-05
0.296482,4.732501e-01,7.353884e-02,1.234458e-03,2.830364e-05
0.300503,5.112463e-01,8.977560e-02,1.414373e-03,3.461440e-05
0.304523,5.512290e-01,1.097556e-01,1.617796e-03,4.224553e-05
0.308543,5.931923e-01,1.343987e-01,1.847473e-03,5.145776e-05
0.312563,6.371182e-01,1.648630e-01,2.106435e-03,6.256091e-05
0.316583,6.829763e-01,2.026058e-01,2.398029e-03,7.592287e-05
0.320603,7.307238e-01,2.494543e-01,2.725947e-03,9.198022e-05
0.324623,7.803049e-01,3.076846e-01,3.094253e-03,1.112507e-04
0.328643,8.316517e-01,3.800977e-01,3.507428e-03,1.343483e-04
0.332663,8.846843e-01,4.700730e-01,3.970399e-03,1.620003e-04
0.336683,9.393111e-01,5.815540e-01,4.488587e-03,1.950686e-04
0.340704,9.954302e-01,7.188932e-01,5.067951e-03,2.345745e-04
0.344724,1.052930e+00,8.864355e-01,5.715034e-03,2.817276e-04
0.348744,1.111691e+00,1.087680e+00,6.437024e-03,3.379612e-04
0.352764,1.171585e+00,1.323873e+00,7.241809e-03,4.049738e-04
0.356784,1.232481e+00,1.592032e+00,8.138038e-03,4.847789e-04
0.360804,1.294242e+00,1.882835e+00,9.135201e-03,5.797647e-04
0.364824,1.356727e+00,2.179405e+00,1.024370e-02,6.927653e-04
0.368844,1.419797e+00,2.458512e+00,1.147492e-02,8.271465e-04
0.372864,1.483312e+00,2.695061e+00,1.284135e-02,9.869091e-04
0.376884,1.547132e+00,2.868743e+00,1.435666e-02,1.176813e-03
0.380905,1.611121e+00,2.969668e+00,1.603581e-02,1.402530e-03
0.384925,1.675149e+00,2.999975e+00,1.789519e-02,1.670824e-03
0.388945,1.739087e+00,2.971065e+00,1.995271e-02,1.989774e-03
0.392965,1.802815e+00,2.898716e+00,2.222800e-02,2.369051e-03
0.396985,1.866215e+00,2.798680e+00,2.474252e-02,2.820247e-03
0.401005,1.929178e+00,2.684110e+00,2.751974e-02,3.357286e-03
0.405025,1.991599e+00,2.564707e+00,3.058534e-02,3.996936e-03
0.409045,2.053379e+00,2.446953e+00,3.396741e-02,4.759434e-03
0.413065,2.114425e+00,2.334784e+00,3.769667e-02,5.669273e-03
0.417085,2.174644e+00,2.230317e+00,4.180673e-02,6.756185e-03
0.421106,2.233950e+00,2.134463e+00,4.633433e-02,8.056381e-03
0.425126,2.292254e+00,2.047375e+00,5.131967e-02,9.614111e-03
0.429146,2.349468e+00,1.968767e+00,5.680674e-02,1.148366e-02
0.433166,2.405500e+00,1.898115e+00,6.284364e-02,1.373192e-02
0.437186,2.460253e+00,1.834789e+00,6.948301e-02,1.644164e-02
0.441206,2.513619e+00,1.778127e+00,7.678244e-02,1.971574e-02
0.445226,2.565480e+00,1.727482e+00,8.480496e-02,2.368288e-02
0.449246,2.615701e+00,1.682246e+00,9.361956e-02,2.850483e-02
0.453266,2.664129e+00,1.641860e+00,1.033017e-01,3.438624e-02
0.457286,2.710582e+00,1.605816e+00,1.139342e-01,4.158777e-02
0.461307,2.754854e+00,1.573660e+00,1.256074e-01,5.044382e-02
0.465327,2.796700e+00,1.544987e+00,1.384206e-01,6.138672e-02
0.469347,2.835835e+00,1.519435e+00,1.524823e-01,7.498019e-02
0.473367,2.871929e+00,1.496685e+00,1.679115e-01,9.196589e-02
