2a_over_lambda,ED,MD,EQ,MQ
0.200000,4.111175e-02,6.127666e-04,2.388703e-05,9.736158e-08
0.204020,4.663436e-02,7.655602e-04,2.913520e-05,1.295958e-07
0.208040,5.277072e-02,9.536929e-04,3.539994e-05,1.716059e-07
0.212060,5.957391e-02,1.184859e-03,4.285300e-05,2.261023e-07
0.216080,6.709995e-02,1.468367e-03,5.169117e-05,2.964811e-07
0.220101,7.540762e-02,1.815482e-03,6.213931e-05,3.869831e-07
0.224121,8.455845e-02,2.239837e-03,7.445382e-05,5.028855e-07
0.228141,9.461653e-02,2.757934e-03,8.892642e-05,6.507342e-07
0.232161,1.056483e-01,3.389763e-03,1.058883e-04,8.386239e-07
0.236181,1.177223e-01,4.159557e-03,1.257146e-04,1.076535e-06
0.240201,1.309090e-01,5.096721e-03,1.488296e-04,1.376740e-06
0.244221,1.452799e-01,6.236976e-03,1.757123e-04,1.754285e-06
0.248241,1.609079e-01,7.623781e-03,2.069020e-04,2.227579e-06
0.252261,1.778661e-01,9.310089e-03,2.430057e-04,2.819079e-06
0.256281,1.962274e-01,1.136054e-02,2.847046e-04,3.556132e-06
0.260302,2.160639e-01,1.385418e-02,3.327628e-04,4.471952e-06
0.264322,2.374462e-01,1.688794e-02,3.880353e-04,5.606810e-06
0.268342,2.604424e-01,2.058088e-02,4.514779e-04,7.009430e-06
0.272362,2.851174e-01,2.507970e-02,5.241578e-04,8.738656e-06
0.276382,3.115318e-01,3.056558e-02,6.072644e-04,1.086544e-05
0.280402,3.397414e-01,3.726301e-02,7.021220e-04,1.347517e-05
0.284422,3.697955e-01,4.545088e-02,8.102033e-04,1.667049e-05
0.288442,4.017365e-01,5.547678e-02,9.331441e-04,2.057458e-05
0.292462,4.355989e-01,6.777523e-02,1.072759e-03,2.533508e-05
0.296482,4.714079e-01,8.289103e-02,1.231060e-03,3.112872e-05
0.300503,5.091792e-01,1.015091e-01,1.410274e-03,3.816684e-05
0.304523,5.489176e-01,1.244926e-01,1.612865e-03,4.670189e-05
0.308543,5.906168e-01,1.529309e-01,1.841555e-03,5.703516e-05
0.312563,6.342588e-01,1.882005e-01,2.099350e-03,6.952589e-05
0.316583,6.798135e-01,2.320384e-01,2.389566e-03,8.460217e-05
0.320603,7.272382e-01,2.866305e-01,2.715859e-03,1.027738e-04
0.324623,7.764784e-01,3.547098e-01,3.082257e-03,1.246474e-04
0.328643,8.274674e-01,4.396541e-01,3.493193e-03,1.509448e-04
0.332663,8.801269e-01,5.455590e-01,3.953541e-03,1.825244e-04
0.336683,9.343680e-01,6.772338e-01,4.468663e-03,2.204069e-04
0.340704,9.900915e-01,8.400335e-01,5.044448e-03,2.658057e-04
0.344724,1.047190e+00,1.039379e+00,5.687362e-03,3.201634e-04
0.348744,1.105547e+00,1.279774e+00,6.404501e-03,3.851952e-04
0.352764,1.165041e+00,1.563125e+00,7.203648e-03,4.629411e-04
0.356784,1.225546e+00,1.886361e+00,8.093337e-03,5.558277e-04
0.360804,1.286931e+00,2.238824e+00,9.082920e-03,6.667433e-04
0.364824,1.349066e+00,2.600694e+00,1.018265e-02,7.991276e-04
