panel,channel,scheme,effective_count,rmse,p95_abs,max_abs,threshold_rmse,threshold_p95_abs,rmse_status,p95_status,status,threshold_provenance,model_validity,resampling
a,ED,dense_212,212,0.009754579084370845,0.017935855193647765,0.02926858865303683,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
a,ED,dense_1000,1000,0.009742156344983316,0.019416709673625077,0.03528944545985646,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
a,ED,dense_4000,4000,0.009757890962877745,0.019499187061423395,0.03567590840460655,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
a,ED,dense_16000,16000,0.009755779203170672,0.019482666448612296,0.03595776453281441,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
a,ED,equal_segment,325,0.006996786324275509,0.013338887012382289,0.02754824238522735,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,source_segment_midpoints_equal_weight
a,MD,dense_212,212,0.010660549891725553,0.02168478055021561,0.035236491708140916,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
a,MD,dense_1000,1000,0.010686496082253237,0.022937834605980756,0.03901144916080046,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
a,MD,dense_4000,4000,0.01070115561536217,0.02287735353509146,0.03956748598567805,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
a,MD,dense_16000,16000,0.010701904095615541,0.0229017845321986,0.03991983067782123,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
a,MD,equal_segment,252,0.006624090665171077,0.012204635205241385,0.021848346590095824,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,source_segment_midpoints_equal_weight
a,EQ,dense_212,212,0.01377700090345831,0.030537695710133095,0.04376191716777633,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
a,EQ,dense_1000,1000,0.013690550692445295,0.029295593250479257,0.046459144926279006,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
a,EQ,dense_4000,4000,0.01371243100477054,0.029128618739917567,0.04800711319128892,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
a,EQ,dense_16000,16000,0.013711751671114748,0.029191827679693194,0.048065142138275174,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
a,EQ,equal_segment,291,0.009019052069524946,0.018774140082414403,0.033555255286504604,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,source_segment_midpoints_equal_weight
a,MQ,strict_vertex_212,212,0.025559729654967944,0.05695000626278197,0.10895481215918945,0.02,0.05,UNRESOLVED,UNRESOLVED,UNRESOLVED,historical strict only,False,historical_212_vertex_receipt
a,MQ,dense_1000,1000,0.03620921439063494,0.08458175376195154,0.10767212227326572,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
a,MQ,dense_4000,4000,0.036209876805681364,0.08420392254417397,0.108663054729504,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
a,MQ,dense_16000,16000,0.03621056624319846,0.08402419383705695,0.10891055557925444,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
a,MQ,equal_segment,211,0.01863488729738652,0.04182202661445822,0.08278726530791403,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,source_segment_midpoints_equal_weight
b,ED,dense_212,212,0.007362952151914741,0.013606141110738323,0.015485297809270326,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
b,ED,dense_1000,1000,0.007338597350340483,0.013560707281883744,0.01572001192192629,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
b,ED,dense_4000,4000,0.007338768532285849,0.01360287800434179,0.015780047718366386,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
b,ED,dense_16000,16000,0.007338710096093851,0.013589306796365108,0.015770021151372937,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
b,ED,equal_segment,70,0.006609941200388257,0.012529244894175217,0.014756679738047174,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,source_segment_midpoints_equal_weight
b,MD,dense_212,212,0.005284865335006528,0.009513692615559233,0.012823873936162578,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
b,MD,dense_1000,1000,0.005280394048721787,0.00935538133342928,0.013044503188310408,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
b,MD,dense_4000,4000,0.005278552588511724,0.009360157322540363,0.013233213330789972,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
b,MD,dense_16000,16000,0.005278540835157289,0.009365707457512862,0.01324921501739107,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
b,MD,equal_segment,67,0.004676609896022965,0.009264051860562204,0.009856070548194484,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,source_segment_midpoints_equal_weight
b,EQ,dense_212,212,0.006887497470809908,0.013549387209093933,0.015971616897034746,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
b,EQ,dense_1000,1000,0.006865725747201349,0.013562429729210734,0.016404012791136235,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
