x_2a_over_lambda,lambda_nm,total,incoherent,cross_term,S1_real,S1_imag,S2_real,S2_imag
0.26,1923.076923076923,1.8461405079360071,1.7574109129312372,0.08872959500476996,0.4765333520962522,-1.2161788812714203,0.040977052289051664,0.3718686356914409
0.2625,1904.7619047619046,1.950760761442084,1.855711899986501,0.09504886145558311,0.5035746989321198,-1.244654232199171,0.04275953497308252,0.3823359105225231
0.265,1886.7924528301885,2.0592051115506145,1.9574909558771627,0.10171415567345177,0.5315892379011545,-1.2728615760151043,0.04459928963185473,0.3930042052789804
0.2675,1869.1588785046729,2.171449011838595,2.0627124457286974,0.10873656610989757,0.5605669156296729,-1.3007442670813838,0.04649723123987845,0.40387634751489115
0.27,1851.8518518518517,2.287453864379591,2.1713268208772845,0.11612704350230674,0.5904935556052013,-1.3282452962252627,0.04845422421929394,0.41495523418688085
0.2725,1834.8623853211009,2.407166567494939,2.2832702003646412,0.12389636713029795,0.6213508181088068,-1.3553075664573253,0.05047111878388781,0.4262438208381217
0.275,1818.181818181818,2.530519288329979,2.3984641503348803,0.13205513799509871,0.6531160717624774,-1.3818742737384515,0.05254873272037944,0.43774513978437174
0.2775,1801.8018018018017,2.6574294739687994,2.516815700245247,0.14061377372355244,0.6857623308058994,-1.4078893342262289,0.05468783048483339,0.4494623047435099
0.28,1785.7142857142856,2.7877997386949636,2.6382172536352773,0.1495824850596863,0.7192583211210946,-1.4332976847257688,0.05688916117161006,0.4613985007495904
0.2825,1769.911504424779,2.9215182988890693,2.7625470061352213,0.15897129275384803,0.7535684564747409,-1.4580457895648928,0.05915340954930974,0.47355699758965203
0.28500000000000003,1754.3859649122805,3.058459152334437,2.8896691333348543,0.1687900189995828,0.7886529689157064,-1.4820819504981515,0.06148122912514986,0.4859411460534443
0.2875,1739.1304347826087,3.1984826576412724,3.0194343506513808,0.1790483069898916,0.824468005046926,-1.5053567351344257,0.06387322404291675,0.49855438773618277
0.29,1724.1379310344828,3.341436361894858,3.1516807372895643,0.1897556246052936,0.8609658638970336,-1.5278233799854855,0.06632994343111924,0.5114002358945918
0.2925,1709.4017094017095,3.487155719048967,3.2862343998476002,0.2009213192013668,0.8980950957017301,-1.5494381681872067,0.0688518692554257,0.5244823173284061
0.295,1694.9152542372883,3.635465032121741,3.422910414791003,0.212554617330738,0.9358008640914338,-1.5701607145043683,0.07143943844234574,0.5378043437437457
0.2975,1680.6722689075632,3.7861787073934527,3.5615140287983875,0.22466467859506523,0.9740251991962126,-1.5899543475552107,0.07409301695055535,0.5513701263703726
0.3,1666.6666666666667,3.939102478134905,3.7018418414188896,0.2372606367160155,1.0127073375980113,-1.6087863836121972,0.07681290123691967,0.5651835778024767
0.3025,1652.892561983471,4.09403474817582,3.8436831013628154,0.25035164681300426,1.0517840902414801,-1.6266283691969157,0.07959931698152599,0.5792487142416284
0.305,1639.344262295082,4.2507681503176755,3.9868212024405016,0.2639469478771739,1.0911902262260171,-1.6434563269212108,0.0824524049715463,0.5935696613907585
0.3075,1626.0162601626016,4.409091118152433,4.131035192949035,0.2780559252033976,1.130858888497629,-1.659250931610204,0.08537221527653246,0.6081506583633592
0.31,1612.9032258064517,4.568789231316115,4.27610107878115,0.29268815253496516,1.1707220425871672,-1.6739975457396803,0.08835872587377816,0.6229960535478009
0.3125,1600.0,4.729034710597199,4.421224211248554,0.307810499348645,1.210712885101262,-1.6875045633657497,0.09145916041635638,0.6381007687212754
0.315,1587.3015873015872,4.889964622158845,4.566508817416654,0.32345580474219116,1.2507505551943052,-1.6998828696578578,0.09464085954697089,0.6534745656779296
0.3175,1574.8031496062993,5.05152852933209,4.7118831480975105,0.3396453812345799,1.2907632003394875,-1.7111834185098613,0.09788993264877777,0.6691246216396292
0.32,1562.5,5.213514274252446,4.857124736239842,0.3563895380126034,1.330681492659516,-1.7214113873219934,0.10120583290151167,0.6850556578342887
0.3225,1550.3875968992247,5.375715468048579,5.002016354523145,0.3736991135254337,1.3704371602058878,-1.7305766901421635,0.10458788166309013,0.7012725237175798
0.325,1538.4615384615383,5.537932661260553,5.146347091311312,0.39158556994924076,1.4099632839049463,-1.738693799257092,0.10803527383900534,0.7177802249519016
0.3275,1526.7175572519084,5.699975668366508,5.289914626569184,0.4100610417973245,1.4491948964746801,-1.7457816572955087,0.11154702664115251,0.7345838864937857
0.33,1515.151515151515,5.8616638184169725,5.432525477598757,0.42913834081821545,1.4880692574101877,-1.7518631902342303,0.11512203126734862,0.7516887548626026
0.3325,1503.7593984962405,6.022827919611849,5.573996751665192,0.44883116794665767,1.5265260223101045,-1.7569653690293572,0.11875898526342055,0.769100265422316
0.335,1492.5373134328358,6.18331079437763,5.71415681010464,0.4691539842729897,1.5645077902617262,-1.7611185799037503,0.12245642896893276,0.7868239568734393
0.3375,1481.4814814814813,6.342968706054089,5.852846511520201,0.49012219453388806,1.6019601932933982,-1.7643565596151203,0.12621269551258965,0.8048655360940802
0.33999999999999997,1470.5882352941178,6.5016717999181175,5.989919690277371,0.5117521096407467,1.638832190426715,-1.7667159030119743,0.1300259222007313,0.8232308480248571
0.3425,1459.85401459854,6.659304439017626,6.1252433743206645,0.5340610646969619,1.6750760330544139,-1.7682357988910158,0.13389404719771136,0.8419259267593452
0.345,1449.2753623188407,6.815766416806233,6.258699063938336,0.5570673528678967,1.7106477053311397,-1.7689576286922093,0.13781476720760794,0.8609569343949143
0.34750000000000003,1438.8489208633093,6.970972734346779,6.390182467722633,0.5807902666241453,1.745506856945343,-1.7689245776044114,0.1417855470681949,0.8803301903792673
0.35,1428.5714285714287,7.124854073458056,6.519603832207848,0.6052502412502081,1.77961671005913,-1.7681814790510042,0.145803594395518,0.9000522250062627
0.35250000000000004,1418.4397163120566,7.277356823735226,6.646888162686962,0.6304686610482637,1.8129443771157872,-1.766774202307125,0.1498658473200686,0.9201296947107712
0.355,1408.4507042253522,7.428442879556011,6.771974914094479,0.6564679654615313,1.8454606341182234,-1.764749449216124,0.15396896474615154,0.9405694375549101
0.3575,1398.6013986013986,7.578089612982768,6.894818032796838,0.6832715801859299,1.8771399804779678,-1.762154372481443,0.15810930205508678,0.961378449322704
0.36,1388.888888888889,7.726085741290976,7.01520100237137,0.7108847389196056,1.9079410967726607,-1.759000624926531,0.16229057119509313,0.9825604737349019
0.3625,1379.3103448275863,7.872345725105161,7.133023334646867,0.7393223904582937,1.9378352904045335,-1.755321984740778,0.16651115646855652,1.0041209474087962
0.365,1369.86301369863,8.017159185261242,7.248523819836477,0.7686353654247648,1.966832114206668,-1.7512137793976443,0.17075596430817364,1.0260717905134986
