lambda_nm,jc_n,jc_k,olmon_n,olmon_k,mcpeak_n,mcpeak_k,mean_n,mean_k
400.000000,1.468365,1.952981,1.588000,1.915000,1.665616,1.973924,1.573994,1.947302
405.000000,1.465220,1.954868,1.586500,1.913000,1.659764,1.974576,1.570495,1.947481
410.000000,1.462075,1.956755,1.585000,1.911000,1.653911,1.975227,1.566996,1.947661
415.000000,1.459012,1.957012,1.576000,1.904500,1.645674,1.972766,1.560229,1.944759
420.000000,1.456105,1.954105,1.567000,1.898000,1.637437,1.970305,1.553514,1.940803
425.000000,1.453198,1.951198,1.552000,1.892500,1.624890,1.964891,1.543363,1.936196
430.000000,1.450291,1.948291,1.537000,1.887000,1.612343,1.959477,1.533211,1.931589
435.000000,1.434559,1.940500,1.521000,1.882000,1.596933,1.949895,1.517497,1.924132
440.000000,1.417402,1.932167,1.505000,1.877000,1.581523,1.940313,1.501308,1.916493
445.000000,1.400245,1.923833,1.488500,1.866000,1.559925,1.925529,1.482890,1.905121
450.000000,1.383088,1.915500,1.472000,1.855000,1.538326,1.910745,1.464472,1.893748
455.000000,1.366000,1.901000,1.447000,1.833500,1.506806,1.891531,1.439935,1.875344
460.000000,1.348927,1.885146,1.422000,1.812000,1.475285,1.872316,1.415404,1.856487
465.000000,1.331854,1.869293,1.377500,1.785000,1.430774,1.850000,1.380043,1.834764
470.000000,1.314780,1.853439,1.333000,1.758000,1.386263,1.827683,1.344681,1.813041
475.000000,1.270327,1.846649,1.263000,1.737000,1.319584,1.804890,1.284304,1.796180
480.000000,1.215224,1.843384,1.193000,1.716000,1.252905,1.782098,1.220377,1.780494
485.000000,1.160122,1.840118,1.102000,1.718000,1.158633,1.774984,1.140252,1.777701
490.000000,1.105020,1.836853,1.011000,1.720000,1.064360,1.767870,1.060127,1.774908
495.000000,1.049918,1.833588,0.915350,1.753500,0.956418,1.798075,0.973895,1.795054
500.000000,0.971120,1.873672,0.819700,1.787000,0.848475,1.828280,0.879765,1.829651
505.000000,0.887120,1.923272,0.736200,1.847500,0.755055,1.896403,0.792792,1.889058
510.000000,0.803120,1.972872,0.652700,1.908000,0.661636,1.964526,0.705819,1.948466
515.000000,0.719120,2.022472,0.589500,1.983000,0.595381,2.047131,0.634667,2.017534
520.000000,0.635120,2.072072,0.526300,2.058000,0.529127,2.129736,0.563516,2.086603
525.000000,0.591877,2.136357,0.481300,2.135500,0.483584,2.212363,0.518920,2.161407
530.000000,0.557581,2.203866,0.436300,2.213000,0.438041,2.294990,0.477307,2.237286
535.000000,0.523285,2.271375,0.404350,2.288500,0.405272,2.373327,0.444302,2.311068
540.000000,0.488989,2.338884,0.372400,2.364000,0.372502,2.451664,0.411297,2.384850
545.000000,0.454693,2.406394,0.349000,2.435500,0.348217,2.524411,0.383970,2.455435
550.000000,0.424149,2.472051,0.325600,2.507000,0.323931,2.597158,0.357893,2.525403
555.000000,0.403254,2.532946,0.307750,2.574000,0.304446,2.668068,0.338483,2.591672
560.000000,0.382358,2.593842,0.289900,2.641000,0.284960,2.738978,0.319073,2.657940
565.000000,0.361463,2.654737,0.275800,2.705000,0.269515,2.805417,0.302259,2.721718
570.000000,0.340567,2.715633,0.261700,2.769000,0.254069,2.871855,0.285445,2.785496
575.000000,0.319672,2.776528,0.250250,2.830000,0.241503,2.935687,0.270475,2.847405
580.000000,0.298776,2.837424,0.238800,2.891000,0.228937,2.999519,0.255504,2.909314
585.000000,0.283314,2.897182,0.229350,2.950000,0.218029,3.060432,0.243565,2.969205
590.000000,0.271787,2.956115,0.219900,3.009000,0.207122,3.121346,0.232936,3.028820
595.000000,0.260259,3.015049,0.212000,3.065500,0.197956,3.181525,0.223405,3.087358
600.000000,0.248732,3.073983,0.204100,3.122000,0.188790,3.241703,0.213874,3.145895
605.000000,0.237205,3.132916,0.197450,3.177000,0.180758,3.299231,0.205137,3.203049
610.000000,0.225677,3.191850,0.190800,3.232000,0.172726,3.356759,0.196401,3.260203
615.000000,0.214150,3.250784,0.185100,3.286000,0.166399,3.411197,0.188550,3.315994
620.000000,0.204754,3.303850,0.179400,3.340000,0.160072,3.465635,0.181409,3.369828
625.000000,0.196557,3.353616,0.174600,3.392000,0.153220,3.521631,0.174792,3.422416
630.000000,0.188361,3.403382,0.169800,3.444000,0.146368,3.577628,0.168176,3.475003
635.000000,0.180164,3.453148,0.165700,3.495500,0.140893,3.631797,0.162252,3.526815
640.000000,0.171967,3.502913,0.161600,3.547000,0.135418,3.685965,0.156328,3.578626
645.000000,0.163770,3.552679,0.158100,3.597000,0.130459,3.739146,0.150776,3.629609
650.000000,0.155574,3.602445,0.154600,3.647000,0.125499,3.792328,0.145224,3.680591
655.000000,0.147377,3.652211,0.151650,3.696500,0.121666,3.844232,0.140231,3.730981
660.000000,0.139889,3.701511,0.148700,3.746000,0.117832,3.896137,0.135474,3.781216
665.000000,0.138778,3.746622,0.146150,3.794500,0.114475,3.947840,0.133134,3.829654
670.000000,0.137667,3.791733,0.143600,3.843000,0.111118,3.999543,0.130795,3.878092
675.000000,0.136556,3.836844,0.141500,3.890500,0.108431,4.051124,0.128829,3.926156
680.000000,0.135444,3.881956,0.139400,3.938000,0.105745,4.102704,0.126863,3.974220
685.000000,0.134333,3.927067,0.137600,3.985500,0.103627,4.153869,0.125187,4.022145
690.000000,0.133222,3.972178,0.135800,4.033000,0.101509,4.205033,0.123511,4.070070
695.000000,0.132111,4.017289,0.134300,4.079500,0.100059,4.255057,0.122157,4.117282
700.000000,0.131000,4.062400,0.132800,4.126000,0.098608,4.305081,0.120803,4.164494
705.000000,0.130097,4.107262,0.131600,4.171500,0.098199,4.354447,0.119965,4.211070
710.000000,0.131068,4.149883,0.130400,4.217000,0.097790,4.403812,0.119753,4.256899
715.000000,0.132039,4.192505,0.129400,4.262500,0.098207,4.451502,0.119882,4.302169
720.000000,0.133010,4.235126,0.128400,4.308000,0.098623,4.499192,0.120011,4.347439
725.000000,0.133981,4.277748,0.127600,4.353000,0.097763,4.547497,0.119781,4.392748
730.000000,0.134951,4.320369,0.126800,4.398000,0.096904,4.595801,0.119552,4.438057
735.000000,0.135922,4.362990,0.126250,4.442500,0.098183,4.641503,0.120119,4.482331
740.000000,0.136893,4.405612,0.125700,4.487000,0.099463,4.687205,0.120686,4.526606
745.000000,0.137864,4.448233,0.125250,4.531000,0.099000,4.734142,0.120705,4.571125
750.000000,0.138835,4.490854,0.124800,4.575000,0.098537,4.781078,0.120724,4.615644
755.000000,0.139806,4.533476,0.124500,4.618500,0.098872,4.826717,0.121059,4.659564
760.000000,0.141229,4.575241,0.124200,4.662000,0.099207,4.872355,0.121545,4.703199
765.000000,0.142765,4.616793,0.124050,4.705500,0.100457,4.915610,0.122424,4.745968
770.000000,0.144301,4.658344,0.123900,4.749000,0.101707,4.958865,0.123303,4.788736
775.000000,0.145837,4.699896,0.123900,4.791500,0.101511,5.005213,0.123749,4.832203
780.000000,0.147373,4.741447,0.123900,4.834000,0.101315,5.051561,0.124196,4.875669
785.000000,0.148909,4.782998,0.123950,4.877000,0.102191,5.099815,0.125017,4.919938
790.000000,0.150445,4.824550,0.124000,4.920000,0.103068,5.148070,0.125838,4.964207
795.000000,0.151982,4.866101,0.124200,4.962000,0.103647,5.185876,0.126610,5.004659
800.000000,0.153518,4.907653,0.124400,5.004000,0.104227,5.223683,0.127382,5.045112
