page	chars	lines	first_line	last_line	figure_mentions	equation_mentions
101	1376	17	4 Three-dimensional self-assembled metamaterials 96	a small outlook on possible future research directions of the ﬁeld of self-assembled MMs.	0	0
102	2420	33	5 Conclusion 97	of amorphous MMs to the simulation of the scattering response of the single meta-atom.	0	0
103	3281	39	5 Conclusion 98	cloak is based on the concept of cancelling the scattering response of small objects. It	0	0
104	3005	37	5 Conclusion 99	First investigations of such eﬀects were already done based on alignments of polarizable	0	0
105	2761	33	5 Conclusion 100	response of these nano-antennas and to describe their interaction with atomic systems.	0	1
106	2583	33	Acknowledgements I	from all over the world. Many merci goes to Dr. Toralf Scharf from the École Polytechnique	0	0
107	2747	34	Acknowledgements II	and in particular for our awesome kids Clara, Martha and Paul.	0	2
108	1410	25	Publications III	195116 (2011).	0	7
109	2058	34	Publications IV	multi-frequency local ﬁeld enhancement, Proc. SPIE7746, 774612 (2010).	0	11
110	2119	34	Publications V	Dintinger, and T. Scharf,PECS-X 2012, Santa Fe, New Mexico, USA.	0	4
111	2117	31	Publications VI	C. Rockstuhl, T. Bürgi, and F. Lederer,TaCoNa 2010, Bad Honnef, Germany.	0	0
112	2236	37	Publications VII	on Metamaterials 2012, Jena, Germany.	0	0
113	1847	27	Publications VIII	Rockstuhl, and F. Lederer,Metamaterials 2013, Bordeaux, France.	0	0
114	1076	25	Short Curriculum Vitae IX	09/2009 Diploma degree in physics from the FSU Jena, Germany.	0	5
115	1864	28	Ehrenwörtliche Erklärung X	zeichnet.	0	26
116	827	12	Ehrenwörtliche Erklärung XI	Jena, 16. September 2013 Unterschrift	0	1
117	2668	33	Zusammenf assung XII	alien ermöglicht. Diese Beschreibung konnte vor den Ergebnissen dieser Arbeit nur durch	0	1
118	3117	39	Zusammenf assung XIII	alien. Die Möglichkeit Volumenstrukturen herzustellen, die eine entscheidende Ausdehnung	0	0
119	2449	30	Zusammenf assung XIV	Metamaterialien bei.	0	0
120	1701	28	Bibliography XV	312, 1780–1782 (2006).	0	12
